Rank,Kit,MatchName,TotalTriangulatedcM,TriHits,EstimatedRelationship,ClusterGroup,Sources
630,ER4711996,ER4711996,175,7,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv,triang_627700260 (version 1).xlsb.csv"
631,A889015,A889015,168,9,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
632,DF6278389,DF6278389,158,22,,,"triang_1710113373.csv,triang_423444393.csv"
633,A656857,A656857,153,21,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
634,AN8231767,AN8231767,142,17,,,triang_423444393.csv
635,TU5250332,TU5250332,140,10,,,"triang_1710113373.csv,triang_423444393.csv"
636,SL7204955,SL7204955,138,11,,,triang_423444393.csv
637,FD5455634,FD5455634,126,11,,,triang_423444393.csv
638,EW2677216,EW2677216,126,11,,,triang_423444393.csv
639,CS9643628,CS9643628,123,17,,,triang_423444393.csv
640,A593882,A593882,123,17,,,triang_423444393.csv
641,ZC5034295,ZC5034295,123,17,,,triang_423444393.csv
642,T586853,T586853,114,11,,,triang_423444393.csv
643,HG9298054,HG9298054,114,11,,,triang_423444393.csv
644,KW3274393,KW3274393,113,11,,,triang_423444393.csv
645,WH7335272,WH7335272,113,11,,,triang_423444393.csv
646,A060933,A060933,112,11,,,triang_423444393.csv
647,A122665,A122665,112,11,,,triang_423444393.csv
648,DV4931456,DV4931456,109,11,,,triang_423444393.csv
649,T774655,T774655,109,11,,,triang_423444393.csv
650,A571949,A571949,107,11,,,triang_423444393.csv
651,AD7828923,AD7828923,107,11,,,triang_423444393.csv
652,EU5288544,EU5288544,104,6,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
653,A352303,A352303,101,17,,,triang_423444393.csv
654,EY1178191,EY1178191,96,11,,,triang_423444393.csv
655,A523626,A523626,95,8,,,"triang_1710113373.csv,triang_423444393.csv"
656,MZ4572153,MZ4572153,85,8,,,"triang_1710113373.csv,triang_423444393.csv"
657,NX1702003,NX1702003,81,11,,,triang_423444393.csv
658,EG4659735,EG4659735,81,17,,,triang_423444393.csv
659,GV6618173,GV6618173,76,6,,,"triang_1710113373.csv,triang_423444393.csv"
660,EC2458000,EC2458000,76,6,,,"triang_1710113373.csv,triang_423444393.csv"
661,YJ3410818,YJ3410818,65,6,,,"triang_1710113373.csv,triang_423444393.csv"
662,WX5504741,WX5504741,46,3,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
663,AZ7506068,AZ7506068,43,6,,,triang_423444393.csv
664,LP3427913,LP3427913,37,3,,,"triang_137266628.csv,triang_1710113373.csv,triang_423444393.csv"
665,RA1134405,RA1134405,35,3,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
666,A744799,A744799,35,3,,,"triang_1257462371.csv,triang_1710113373.csv,triang_423444393.csv"
667,SQ2802221,SQ2802221,26,3,,,triang_423444393.csv
668,KW2499776,KW2499776,23,3,,,triang_423444393.csv
669,ZJ1804225,ZJ1804225,20,3,,,triang_423444393.csv
670,PU8777721,PU8777721,17,2,,,"triang_1710113373.csv,triang_423444393.csv"
671,HB5029531,HB5029531,17,2,,,"triang_1710113373.csv,triang_423444393.csv"
672,ZR5949251,ZR5949251,12,1,,,triang_423444393.csv
673,AU8369177,AU8369177,12,1,,,triang_423444393.csv
674,A783737,A783737,11,1,,,triang_423444393.csv
675,A108835,A108835,11,1,,,triang_423444393.csv
676,DC6318279,DC6318279,0,6,,,triang_423444393.csv
677,JQ9823370,JQ9823370,0,6,,,triang_423444393.csv
678,MX2414682,MX2414682,0,0,,,
679,RE7103788,RE7103788,0,12,,,"triang_1710113373.csv,triang_423444393.csv"
680,A858780,A858780,0,6,,,triang_423444393.csv
681,LJ5929916,LJ5929916,0,12,,,triang_423444393.csv
682,ZB6773423,ZB6773423,0,6,,,triang_423444393.csv
683,NP6280720,NP6280720,0,6,,,triang_423444393.csv
684,M212551,M212551,0,12,,,"triang_1710113373.csv,triang_423444393.csv"
685,CE4827790,CE4827790,0,6,,,triang_423444393.csv
686,CA1518345,CA1518345,0,6,,,triang_423444393.csv
